'temperature points' 8 0. 25. 60. 100. 150. 200. 250. 300.
'H2O' 3.0 0.0 18.0153
'Ac-' 2.00 -1.00     59.050
'N2(aq)' 0.00  0.00     28.013
'Ag+' 2.5 1.0 107.8682
'Al+++' 9.0 3.0 26.9815
'Am+++' 5.0 3.0 243.0000
'Ar(aq)' 3.0 0.0 39.9480
'Au+' 4.0 1.0 196.9665
'B(OH)3(aq)' 3.0 0.0 61.8330
'Ba++' 5.0 2.0 137.3270
'Be++' 8.0 2.0 9.0122
'Br-' 3.0 -1.0 79.9040
'Ca++' 6.0 2.0 40.0780
'Cd++' 5.0 2.0 112.4110
'Ce+++' 9.0 3.0 140.1150
'Cl-' 3.0 -1.0 35.4527
'ClO4-' 3.5 -1.0 99.4503
'Co++' 6.0 2.0 58.9332
'CO2(aq)*' 3.0 0.0 44.0098
'CrO4--' 4.0 -2.0 115.9937
'Cs+' 2.5 1.0 132.9054
'Cu++' 6.0 2.0 63.5460
'Dy+++' 5.0 3.0 162.5000
'Er+++' 5.0 3.0 167.2600
'Eu+++' 5.0 3.0 151.9650
'F-' 3.5 -1.0 18.9984
'Fe++' 6.0 2.0 55.8470
'Fe+++' 9.0 3.0 55.8470
'Fe+++(gt)' 9.0 3.0 55.8470
'Fe+++(fh)' 9.0 3.0 55.8470
'Ga+++' 5.0 3.0 69.7230
'Gd+++' 5.0 3.0 157.2500
'H+' 9.0 1.0 1.0079
'H2(aq)' 3.0 0.0 2.0159
'HAsO4--' 4.0 -2.0 139.9277
'H2AsO3-' 4.0 -1.0 124.9362
'HCO3-' 4.0 -1.0 61.0171
'HPO4--' 4.0 -2.0 95.9793
'He(aq)' 3.0 0.0 4.0026
'Hf++++' 11.0 4.0 178.4900
'Hg++' 5.0 2.0 200.5900
'Ho+++' 5.0 3.0 164.9303
'HS-' 3.5 -1.0 33.0739
'I-' 3.0 -1.0 126.9045
'In+++' 9.0 3.0 114.8200
'K+' 3.0 1.0 39.0983
'Kr(aq)' 3.0 0.0 83.8000
'La+++' 9.0 3.0 138.9055
'Lactate-' 4.5 -1.0 90.08
'Li+' 6.0 1.0 6.9410
'Lu+++' 5.0 3.0 174.9670
'Mg++' 8.0 2.0 24.3050
'Mn++' 6.0 2.0 54.9380
'MoO4--' 4.5 -2.0 159.9376
'NH3(aq)' 3.0 0.0 17.0306
'Na+' 4.0 1.0 22.9898
'Nd+++' 9.0 3.0 144.2400
'Ne(aq)' 3.0 0.0 20.1797
'Ni++' 6.0 2.0 58.6900
'NO3-' 3.0 -1.0 62.0049
'NO2-' 3.0 -1.0 46.0055
'Np++++' 5.5 4.0 237.0480
'Pb++' 4.5 2.0 207.2000
'Pd++' 4.5 2.0 106.4200
'Pm+++' 5.0 3.0 147.0000
'Pr+++' 9.0 3.0 140.9076
'Pu++++' 5.5 4.0 244.0000
'Ra++' 5.0 2.0 226.0250
